podcast_name,apple_url,website_url,rss_url,rss_from_website
ABA Banking Journal Podcast,https://podcasts.apple.com/us/podcast/aba-banking-journal-podcast/id1301814786?uo=4,,https://abanewsbytes.libsyn.com/rss,
American Banker Podcast,https://podcasts.apple.com/us/podcast/american-banker-podcast/id1148679972?uo=4,,https://rss.libsyn.com/shows/75999/destinations/338113.xml,
The Bank Account,https://podcasts.apple.com/us/podcast/the-bank-account/id1171156879?uo=4,,https://feeds.blubrry.com/feeds/thebankaccount.xml,
Bank To Bank,https://podcasts.apple.com/us/podcast/bank-to-bank/id1144572617?uo=4,,https://banktobank.libsyn.com/rss,
FT Banking Weekly,https://podcasts.apple.com/us/podcast/the-receipts-podcast/id1177040764?uo=4,,https://feeds.acast.com/public/shows/67dbd903782fc3c7c6b02a0b,
Bloomberg Surveillance,https://podcasts.apple.com/us/podcast/bloomberg-surveillance/id296237493?uo=4,,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8e704079-ca57-4eac-9741-ae27003e2b7f/9739700c-72c3-4176-ae55-ae27003e2b96/podcast.rss,
Real Vision: Finance & Investing,https://podcasts.apple.com/us/podcast/real-vision-finance-investing/id1210383304?uo=4,https://podcasts.apple.com/us/podcast/bitcoin-breaks-below-%24100k-is-it-over-rekt-vision-november/id1210383304?i=1000736795816,https://feeds.megaphone.fm/realvision,https://podcasts.apple.com/us/new
Money For the Rest of Us,https://podcasts.apple.com/us/podcast/money-for-the-rest-of-us/id883011006?uo=4,,https://rss.art19.com/money-for-the-rest-of-us,
Wall Street Breakfast,https://podcasts.apple.com/us/podcast/wall-street-breakfast/id1358381502?uo=4,,https://www.spreaker.com/show/5725002/episodes/feed,
WSJ Minute Briefing,https://podcasts.apple.com/us/podcast/wsj-minute-briefing/id1202441485?uo=4,,https://video-api.wsj.com/podcast/rss/wsj/minute-briefing,
WSJ What’s News,https://podcasts.apple.com/us/podcast/wsj-whats-news/id152016440?uo=4,,https://video-api.wsj.com/podcast/rss/wsj/whats-news,
Animal Spirits Podcast,https://podcasts.apple.com/us/podcast/animal-spirits-podcast/id1310192007?uo=4,https://podcasts.apple.com/us/podcast/is-a-50-year-mortgage-a-good-idea-ep-438/id1310192007?i=1000736398513,https://feeds.megaphone.fm/TCP6464651487,https://podcasts.apple.com/us/new
Odd Lots,https://podcasts.apple.com/us/podcast/odd-lots/id1056200096?uo=4,,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8a94442e-5a74-4fa2-8b8d-ae27003a8d6b/982f5071-765c-403d-969d-ae27003a8d83/podcast.rss,
Tearsheet Podcast,https://podcasts.apple.com/us/podcast/tearsheet-podcast-exploring-financial-services-together/id423234173?uo=4,https://podcasts.apple.com/us/podcast/how-wix-built-payments-checking-and-capital-for-293/id423234173?i=1000735372862,http://feeds.feedburner.com/tradestreamingradio,https://podcasts.apple.com/us/new
Moody's Talks - The Big Picture,https://podcasts.apple.com/us/podcast/moodys-talks-the-big-picture/id1586209242?uo=4,,https://feeds.simplecast.com/nIJuUT0B,
We Study Billionaires,https://podcasts.apple.com/us/podcast/we-study-billionaires-the-investors-podcast-network/id928933489?uo=4,https://podcasts.apple.com/us/podcast/tech007-longevity-roadmap-w-seb-bunney-tech-podcast/id928933489?i=1000735312163,https://feeds.megaphone.fm/PPLLC8974708240,https://podcasts.apple.com/us/new
Marketplace,https://podcasts.apple.com/us/podcast/marketplace/id201853034?uo=4,,https://feeds.publicradio.org/public_feeds/marketplace,
The Northern Miner Podcast,https://podcasts.apple.com/us/podcast/the-northern-miner-podcast/id1099281201?uo=4,,https://feeds.soundcloud.com/users/soundcloud:users:210041445/sounds.rss,
The Compound and Friends,https://podcasts.apple.com/us/podcast/the-compound-and-friends/id1456467014?uo=4,https://podcasts.apple.com/us/podcast/quality-in-the-streets-momentum-in-the-sheets/id1456467014?i=1000736727125,https://feeds.megaphone.fm/TCP4771071679,https://podcasts.apple.com/us/new
The Long View,https://podcasts.apple.com/us/podcast/the-long-view/id1462214964?uo=4,https://podcasts.apple.com/us/podcast/dana-anspach-and-fritz-gilbert-this-is-what-a/id1462214964?i=1000728093869,https://feeds.simplecast.com/5SEwkJYi,https://podcasts.apple.com/us/new
